Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region,Year,Month,M/Y,Ingreso Anual
C_CND_000319,2022-02-03,Katelyn,Male,840000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,06457-3834,SUV,6503890,Middletown,2022,2,202202,Alto
C_CND_000370,2022-02-06,Heaven,Male,1635000,Buddy Storbeck's Diesel Service Inc,Plymouth,Prowler,Overhead Camshaft,Manual,Pale White,71500,06457-3834,Hatchback,8952847,Middletown,2022,2,202202,Muy Alto
C_CND_000420,2022-02-08,Devin,Male,1000000,Buddy Storbeck's Diesel Service Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,24000,06457-3834,Hatchback,7722013,Janesville,2022,2,202202,Alto
C_CND_000429,2022-02-09,Michael,Male,878000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,S-Class,Overhead Camshaft,Manual,Black,85000,06457-3834,SUV,8526296,Middletown,2022,2,202202,Alto
C_CND_000443,2022-02-09,Loreley,Female,591000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45000,06457-3834,Hardtop,7669561,Pasco,2022,2,202202,Medio-Alto
C_CND_000463,2022-02-14,Allison,Male,1005000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Eclipse,DoubleÂ Overhead Camshaft,Auto,Black,27500,06457-3834,Hardtop,8206647,Middletown,2022,2,202202,Muy Alto
C_CND_000493,2022-02-15,Lucia,Male,1042000,Buddy Storbeck's Diesel Service Inc,Chevrolet,Monte Carlo,DoubleÂ Overhead Camshaft,Auto,Pale White,21200,06457-3834,Hatchback,8928661,Middletown,2022,2,202202,Muy Alto
C_CND_000570,2022-02-21,Lillian,Female,1190000,Buddy Storbeck's Diesel Service Inc,Cadillac,Seville,Overhead Camshaft,Manual,Pale White,22000,06457-3834,Hatchback,6466455,Middletown,2022,2,202202,Muy Alto
C_CND_000622,2022-02-27,Johnny,Female,458000,Buddy Storbeck's Diesel Service Inc,Ford,Focus,Overhead Camshaft,Manual,Pale White,17000,06457-3834,Hatchback,8790801,Janesville,2022,2,202202,Medio
C_CND_000628,2022-02-28,Reid,Male,875000,Buddy Storbeck's Diesel Service Inc,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,06457-3834,Sedan,7343502,Middletown,2022,2,202202,Alto
C_CND_000660,2022-03-01,Romane,Female,2200000,Buddy Storbeck's Diesel Service Inc,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,26000,06457-3834,Sedan,7298842,Middletown,2022,3,202203,Muy Alto
C_CND_000690,2022-03-05,Nayeli,Male,2300000,Buddy Storbeck's Diesel Service Inc,Audi,A6,Overhead Camshaft,Manual,Pale White,24000,06457-3834,SUV,7446612,Middletown,2022,3,202203,Muy Alto
C_CND_000732,2022-03-05,Penelope,Male,1725000,Buddy Storbeck's Diesel Service Inc,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,20500,06457-3834,Passenger,8151504,Middletown,2022,3,202203,Muy Alto
C_CND_000808,2022-03-08,Sarah,Male,13500,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,06457-3834,Passenger,6369393,Middletown,2022,3,202203,Bajo
C_CND_000823,2022-03-08,Kayden,Male,1302500,Buddy Storbeck's Diesel Service Inc,Subaru,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22250,06457-3834,Hardtop,7721381,Middletown,2022,3,202203,Muy Alto
C_CND_000828,2022-03-08,Patrick,Male,565000,Buddy Storbeck's Diesel Service Inc,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Black,22000,06457-3834,Hatchback,6948225,Janesville,2022,3,202203,Medio-Alto
C_CND_000857,2022-03-10,Quentin,Male,770000,Buddy Storbeck's Diesel Service Inc,Acura,TL,Overhead Camshaft,Manual,Pale White,14000,06457-3834,Hatchback,6428798,Middletown,2022,3,202203,Alto
C_CND_000884,2022-03-13,Skylar,Male,1801000,Buddy Storbeck's Diesel Service Inc,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15100,06457-3834,SUV,7478336,Middletown,2022,3,202203,Muy Alto
C_CND_000887,2022-03-13,Brandon,Male,750000,Buddy Storbeck's Diesel Service Inc,Cadillac,Seville,Overhead Camshaft,Manual,Black,44001,06457-3834,Hardtop,6443234,Middletown,2022,3,202203,Medio-Alto
C_CND_000950,2022-03-16,Zuri,Female,1262500,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17250,06457-3834,Hatchback,7873794,Middletown,2022,3,202203,Muy Alto
C_CND_001003,2022-03-19,Violet,Male,1200000,Buddy Storbeck's Diesel Service Inc,Dodge,Ram Van,DoubleÂ Overhead Camshaft,Auto,Black,60000,06457-3834,Hatchback,6783037,Middletown,2022,3,202203,Muy Alto
C_CND_001038,2022-03-19,Ahmed,Male,551200,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Diamante,Overhead Camshaft,Manual,Red,19200,06457-3834,Hatchback,8465128,Greenville,2022,3,202203,Medio-Alto
C_CND_001058,2022-03-20,Alexis,Male,650000,Buddy Storbeck's Diesel Service Inc,Subaru,Outback,Overhead Camshaft,Manual,Red,49000,06457-3834,SUV,7975408,Middletown,2022,3,202203,Medio-Alto
C_CND_001140,2022-03-22,Angelica,Male,990000,Buddy Storbeck's Diesel Service Inc,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Red,31000,06457-3834,SUV,7686143,Middletown,2022,3,202203,Alto
C_CND_001191,2022-03-23,Christian,Male,507000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Black,42000,06457-3834,Hatchback,6141955,Aurora,2022,3,202203,Medio-Alto
C_CND_001199,2022-03-24,Anthony,Male,13500,Buddy Storbeck's Diesel Service Inc,BMW,528i,Overhead Camshaft,Manual,Black,21000,06457-3834,SUV,7134917,Middletown,2022,3,202203,Bajo
C_CND_001232,2022-03-26,Aurelien,Male,13500,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Black,26000,06457-3834,Passenger,6386533,Middletown,2022,3,202203,Bajo
C_CND_001272,2022-03-29,Batya,Female,916500,Buddy Storbeck's Diesel Service Inc,Saturn,SW,Overhead Camshaft,Manual,Black,36500,06457-3834,Passenger,7003599,Middletown,2022,3,202203,Alto
C_CND_001332,2022-03-31,Brooke,Male,13500,Buddy Storbeck's Diesel Service Inc,Audi,A6,Overhead Camshaft,Manual,Pale White,24000,06457-3834,SUV,8421108,Middletown,2022,3,202203,Bajo
C_CND_001369,2022-04-02,Jackson,Male,1593000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,3000GT,DoubleÂ Overhead Camshaft,Auto,Red,19300,06457-3834,Sedan,8161205,Aurora,2022,4,202204,Muy Alto
C_CND_001382,2022-04-04,Elvis,Male,877500,Buddy Storbeck's Diesel Service Inc,BMW,528i,Overhead Camshaft,Manual,Black,21500,06457-3834,SUV,8101183,Middletown,2022,4,202204,Alto
C_CND_001402,2022-04-04,Samuel,Male,2525000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Red,29500,06457-3834,Hardtop,6270692,Middletown,2022,4,202204,Muy Alto
C_CND_001426,2022-04-05,Dalia,Male,623000,Buddy Storbeck's Diesel Service Inc,BMW,528i,Overhead Camshaft,Manual,Black,21000,06457-3834,SUV,6795744,Middletown,2022,4,202204,Medio-Alto
C_CND_001455,2022-04-05,Isaure,Male,2825000,Buddy Storbeck's Diesel Service Inc,Lincoln,Continental,Overhead Camshaft,Manual,Black,42500,06457-3834,Passenger,8668177,Middletown,2022,4,202204,Muy Alto
C_CND_001522,2022-04-07,Emma,Male,1640000,Buddy Storbeck's Diesel Service Inc,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Red,35000,06457-3834,SUV,6080099,Middletown,2022,4,202204,Muy Alto
C_CND_001563,2022-04-10,Kayden,Female,1581000,Buddy Storbeck's Diesel Service Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28100,06457-3834,Hatchback,8661788,Greenville,2022,4,202204,Muy Alto
C_CND_001576,2022-04-11,Julian,Male,13500,Buddy Storbeck's Diesel Service Inc,Acura,RL,DoubleÂ Overhead Camshaft,Auto,Black,24000,06457-3834,SUV,6592379,Middletown,2022,4,202204,Bajo
C_CND_001616,2022-04-13,Fradel,Female,765000,Buddy Storbeck's Diesel Service Inc,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21000,06457-3834,SUV,6442919,Middletown,2022,4,202204,Alto
C_CND_001651,2022-04-13,Julien,Male,739000,Buddy Storbeck's Diesel Service Inc,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9000,06457-3834,SUV,8433052,Middletown,2022,4,202204,Medio-Alto
C_CND_001720,2022-04-16,Jazmin,Male,1440000,Buddy Storbeck's Diesel Service Inc,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Red,39000,06457-3834,Passenger,7344147,Middletown,2022,4,202204,Muy Alto
C_CND_001728,2022-04-16,Mathilde,Male,642000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Black,42001,06457-3834,Hardtop,6401545,Middletown,2022,4,202204,Medio-Alto
C_CND_001755,2022-04-16,Nicholas,Male,920000,Buddy Storbeck's Diesel Service Inc,Honda,Passport,Overhead Camshaft,Manual,Pale White,27000,06457-3834,Hatchback,6518299,Janesville,2022,4,202204,Alto
C_CND_001767,2022-04-17,Oliver,Male,13500,Buddy Storbeck's Diesel Service Inc,Lexus,LS400,Overhead Camshaft,Manual,Pale White,54000,06457-3834,Sedan,7365310,Middletown,2022,4,202204,Bajo
C_CND_001808,2022-04-18,Jasmine,Male,421500,Buddy Storbeck's Diesel Service Inc,Saab,3-Sep,DoubleÂ Overhead Camshaft,Auto,Black,26500,06457-3834,Sedan,6576391,Middletown,2022,4,202204,Medio
C_CND_001850,2022-04-18,Lorena,Male,13500,Buddy Storbeck's Diesel Service Inc,BMW,528i,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,06457-3834,SUV,7254716,Middletown,2022,4,202204,Bajo
C_CND_001908,2022-04-20,Layla,Male,1270000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Red,39000,06457-3834,Hatchback,6450662,Middletown,2022,4,202204,Muy Alto
C_CND_001949,2022-04-22,Zyaire,Male,1455000,Buddy Storbeck's Diesel Service Inc,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,19500,06457-3834,SUV,8013565,Janesville,2022,4,202204,Muy Alto
C_CND_001983,2022-04-25,Jules,Male,13500,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,22000,06457-3834,Hatchback,8358972,Middletown,2022,4,202204,Bajo
C_CND_002042,2022-04-27,Lilly,Male,2801000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,CLK Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,22101,06457-3834,Sedan,8677659,Middletown,2022,4,202204,Muy Alto
C_CND_002121,2022-04-30,Milan,Male,13500,Buddy Storbeck's Diesel Service Inc,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,06457-3834,SUV,6878814,Middletown,2022,4,202204,Bajo
C_CND_002139,2022-04-30,Ashton,Male,690000,Buddy Storbeck's Diesel Service Inc,Mercury,Grand Marquis,Overhead Camshaft,Manual,Red,71000,06457-3834,SUV,6196935,Janesville,2022,4,202204,Medio-Alto
C_CND_002150,2022-05-01,Caden,Male,1530000,Buddy Storbeck's Diesel Service Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,43000,06457-3834,SUV,6035917,Middletown,2022,5,202205,Muy Alto
C_CND_002182,2022-05-02,Nazim,Male,13500,Buddy Storbeck's Diesel Service Inc,Buick,LeSabre,Overhead Camshaft,Manual,Black,20000,06457-3834,Sedan,8651819,Middletown,2022,5,202205,Bajo
C_CND_002196,2022-05-03,Natalia,Male,13500,Buddy Storbeck's Diesel Service Inc,Volkswagen,GTI,Overhead Camshaft,Manual,Pale White,28000,06457-3834,SUV,7293950,Middletown,2022,5,202205,Bajo
C_CND_002323,2022-05-08,Isaiah,Female,1767000,Buddy Storbeck's Diesel Service Inc,Porsche,Carrera Cabrio,Overhead Camshaft,Manual,Black,22700,06457-3834,Passenger,6807859,Middletown,2022,5,202205,Muy Alto
C_CND_002331,2022-05-08,Shiloh,Female,13500,Buddy Storbeck's Diesel Service Inc,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Black,60001,06457-3834,Sedan,7960876,Middletown,2022,5,202205,Bajo
C_CND_002353,2022-05-08,Angela,Male,1600000,Buddy Storbeck's Diesel Service Inc,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14000,06457-3834,Sedan,8605202,Janesville,2022,5,202205,Muy Alto
C_CND_002375,2022-05-10,Paul,Male,1515000,Buddy Storbeck's Diesel Service Inc,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,12500,06457-3834,Passenger,7027389,Middletown,2022,5,202205,Muy Alto
C_CND_002384,2022-05-11,Sirine,Male,727000,Buddy Storbeck's Diesel Service Inc,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Red,19001,06457-3834,Hardtop,7004320,Middletown,2022,5,202205,Medio-Alto
C_CND_002393,2022-05-12,Samantha,Male,940000,Buddy Storbeck's Diesel Service Inc,Honda,Accord,Overhead Camshaft,Manual,Black,43000,06457-3834,Sedan,8083309,Middletown,2022,5,202205,Alto
C_CND_002510,2022-05-16,Erica,Male,1320000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SLK,DoubleÂ Overhead Camshaft,Auto,Pale White,36000,06457-3834,Passenger,6904167,Pasco,2022,5,202205,Muy Alto
C_CND_002518,2022-05-17,Kevin,Female,385000,Buddy Storbeck's Diesel Service Inc,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19000,06457-3834,Passenger,6061952,Middletown,2022,5,202205,Medio
C_CND_002521,2022-05-17,Alicia,Male,13500,Buddy Storbeck's Diesel Service Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,06457-3834,Hatchback,7012111,Middletown,2022,5,202205,Bajo
C_CND_002574,2022-05-22,Baptiste,Male,465000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SLK,DoubleÂ Overhead Camshaft,Auto,Red,19000,06457-3834,Passenger,6562558,Middletown,2022,5,202205,Medio
C_CND_002611,2022-05-24,Tzivia,Female,770000,Buddy Storbeck's Diesel Service Inc,Toyota,Celica,DoubleÂ Overhead Camshaft,Auto,Pale White,25001,06457-3834,SUV,7594006,Middletown,2022,5,202205,Alto
C_CND_002700,2022-05-26,Kayla,Male,750000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,06457-3834,Sedan,7529823,Aurora,2022,5,202205,Medio-Alto
C_CND_002713,2022-05-28,Noah,Male,780000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,CL500,Overhead Camshaft,Manual,Red,29000,06457-3834,SUV,8881055,Middletown,2022,5,202205,Alto
C_CND_002721,2022-05-28,Aurora,Female,13500,Buddy Storbeck's Diesel Service Inc,Pontiac,Grand Am,DoubleÂ Overhead Camshaft,Auto,Red,31000,06457-3834,SUV,6825020,Middletown,2022,5,202205,Bajo
C_CND_002772,2022-05-29,Alicia,Female,556000,Buddy Storbeck's Diesel Service Inc,Volvo,S40,Overhead Camshaft,Manual,Red,17000,06457-3834,Sedan,7576395,Middletown,2022,5,202205,Medio-Alto
C_CND_002789,2022-05-30,Andrew,Male,1291000,Buddy Storbeck's Diesel Service Inc,Oldsmobile,Intrigue,DoubleÂ Overhead Camshaft,Auto,Pale White,45100,06457-3834,SUV,7491246,Middletown,2022,5,202205,Muy Alto
C_CND_002889,2022-05-31,Sharon,Female,13500,Buddy Storbeck's Diesel Service Inc,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,22000,06457-3834,Sedan,6385226,Middletown,2022,5,202205,Bajo
C_CND_002901,2022-06-01,Aden,Female,1165000,Buddy Storbeck's Diesel Service Inc,Nissan,Frontier,Overhead Camshaft,Manual,Black,53500,06457-3834,Hatchback,8198368,Middletown,2022,6,202206,Muy Alto
C_CND_002907,2022-06-01,Denise,Male,13500,Buddy Storbeck's Diesel Service Inc,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,06457-3834,Hatchback,6342495,Middletown,2022,6,202206,Bajo
C_CND_002947,2022-06-04,Camille,Male,406500,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,Overhead Camshaft,Manual,Red,22500,06457-3834,SUV,6584355,Middletown,2022,6,202206,Medio
C_CND_002987,2022-06-08,Farhan,Male,955000,Buddy Storbeck's Diesel Service Inc,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,06457-3834,Hatchback,8565875,Middletown,2022,6,202206,Alto
C_CND_003085,2022-06-11,Brayan,Female,690000,Buddy Storbeck's Diesel Service Inc,Volkswagen,Jetta,Overhead Camshaft,Manual,Red,24000,06457-3834,Passenger,7029950,Middletown,2022,6,202206,Medio-Alto
C_CND_003097,2022-06-11,Hayley,Male,2210000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,CL500,Overhead Camshaft,Manual,Red,29000,06457-3834,SUV,8186183,Middletown,2022,6,202206,Muy Alto
C_CND_003118,2022-06-11,Amber,Male,745000,Buddy Storbeck's Diesel Service Inc,Volkswagen,Cabrio,Overhead Camshaft,Manual,Red,25000,06457-3834,Sedan,8517431,Austin,2022,6,202206,Medio-Alto
C_CND_003161,2022-06-13,Kyle,Female,1300000,Buddy Storbeck's Diesel Service Inc,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Red,21000,06457-3834,SUV,6707559,Middletown,2022,6,202206,Muy Alto
C_CND_003232,2022-06-15,Theo,Male,960000,Buddy Storbeck's Diesel Service Inc,Porsche,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Red,22001,06457-3834,Hardtop,6525102,Middletown,2022,6,202206,Alto
C_CND_003268,2022-06-16,Erin,Male,885000,Buddy Storbeck's Diesel Service Inc,Toyota,Camry,DoubleÂ Overhead Camshaft,Auto,Red,31000,06457-3834,Hatchback,6637977,Austin,2022,6,202206,Alto
C_CND_003290,2022-06-18,Edgar,Female,13500,Buddy Storbeck's Diesel Service Inc,Mercury,Mystique,DoubleÂ Overhead Camshaft,Auto,Black,9000,06457-3834,Passenger,7147193,Middletown,2022,6,202206,Bajo
C_CND_003301,2022-06-18,Jimena,Male,772000,Buddy Storbeck's Diesel Service Inc,Saab,3-Sep,DoubleÂ Overhead Camshaft,Auto,Red,69000,06457-3834,Sedan,6052476,Middletown,2022,6,202206,Alto
C_CND_003371,2022-06-20,Sebastian,Male,1320000,Buddy Storbeck's Diesel Service Inc,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,06457-3834,SUV,8060454,Middletown,2022,6,202206,Muy Alto
C_CND_003432,2022-06-23,Armand,Male,715000,Buddy Storbeck's Diesel Service Inc,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,06457-3834,Sedan,6281304,Middletown,2022,6,202206,Medio-Alto
C_CND_003464,2022-06-25,Itzel,Female,2265000,Buddy Storbeck's Diesel Service Inc,Honda,CR-V,DoubleÂ Overhead Camshaft,Auto,Pale White,22500,06457-3834,SUV,8904921,Middletown,2022,6,202206,Muy Alto
C_CND_003488,2022-06-25,Khloe,Male,1450000,Buddy Storbeck's Diesel Service Inc,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,06457-3834,Hatchback,7761566,Pasco,2022,6,202206,Muy Alto
C_CND_003562,2022-06-29,Andre,Male,13500,Buddy Storbeck's Diesel Service Inc,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Red,24000,06457-3834,Sedan,6699979,Middletown,2022,6,202206,Bajo
C_CND_003626,2022-07-02,Florent,Male,450000,Buddy Storbeck's Diesel Service Inc,Volkswagen,Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,06457-3834,Sedan,7563749,Middletown,2022,7,202207,Medio
C_CND_003658,2022-07-03,Michelle,Male,13500,Buddy Storbeck's Diesel Service Inc,Mitsubishi,3000GT,Overhead Camshaft,Manual,Red,24001,06457-3834,Sedan,6937573,Middletown,2022,7,202207,Bajo
C_CND_003666,2022-07-03,Nia,Male,13500,Buddy Storbeck's Diesel Service Inc,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Red,19000,06457-3834,Hatchback,8327140,Pasco,2022,7,202207,Bajo
C_CND_003756,2022-07-08,Donovan,Male,1155000,Buddy Storbeck's Diesel Service Inc,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,12500,06457-3834,Hatchback,7014638,Middletown,2022,7,202207,Muy Alto
C_CND_003811,2022-07-09,Louise,Female,1100000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,36000,06457-3834,Passenger,6187956,Middletown,2022,7,202207,Muy Alto
C_CND_003840,2022-07-10,Tamia,Female,13500,Buddy Storbeck's Diesel Service Inc,Mercury,Cougar,Overhead Camshaft,Manual,Red,22000,06457-3834,Hatchback,7130028,Aurora,2022,7,202207,Bajo
C_CND_003856,2022-07-11,Madelyn,Female,1590000,Buddy Storbeck's Diesel Service Inc,Saturn,LW,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,06457-3834,Hatchback,8745992,Middletown,2022,7,202207,Muy Alto
C_CND_003863,2022-07-11,Sadie,Male,435000,Buddy Storbeck's Diesel Service Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,06457-3834,Hatchback,8298808,Middletown,2022,7,202207,Medio
C_CND_003938,2022-07-13,Jasiah,Male,892500,Buddy Storbeck's Diesel Service Inc,Volvo,S70,DoubleÂ Overhead Camshaft,Auto,Black,26500,06457-3834,SUV,8646549,Middletown,2022,7,202207,Alto
C_CND_004004,2022-07-16,Coline,Male,1450000,Buddy Storbeck's Diesel Service Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,06457-3834,Sedan,6519378,Middletown,2022,7,202207,Muy Alto
C_CND_004026,2022-07-17,Wendy,Male,450000,Buddy Storbeck's Diesel Service Inc,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Red,45000,06457-3834,SUV,7002305,Middletown,2022,7,202207,Medio
C_CND_004034,2022-07-17,Alyssa,Male,1500000,Buddy Storbeck's Diesel Service Inc,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Red,12000,06457-3834,Hatchback,8544463,Greenville,2022,7,202207,Muy Alto
C_CND_004043,2022-07-18,Nylah,Female,1460000,Buddy Storbeck's Diesel Service Inc,Ford,Crown Victoria,DoubleÂ Overhead Camshaft,Auto,Red,29000,06457-3834,Passenger,7348438,Middletown,2022,7,202207,Muy Alto
C_CND_004132,2022-07-24,Liam,Male,13500,Buddy Storbeck's Diesel Service Inc,Volkswagen,Passat,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,06457-3834,Hatchback,7473461,Middletown,2022,7,202207,Bajo
C_CND_004224,2022-07-26,Brianna,Female,635000,Buddy Storbeck's Diesel Service Inc,Cadillac,Eldorado,Overhead Camshaft,Manual,Pale White,13000,06457-3834,Passenger,7198650,Pasco,2022,7,202207,Medio-Alto
C_CND_004228,2022-07-27,Ariel,Male,1225000,Buddy Storbeck's Diesel Service Inc,Toyota,Camry,DoubleÂ Overhead Camshaft,Auto,Red,31501,06457-3834,Hatchback,8447854,Middletown,2022,7,202207,Muy Alto
C_CND_004237,2022-07-30,Stephanie,Male,13500,Buddy Storbeck's Diesel Service Inc,Toyota,4Runner,Overhead Camshaft,Manual,Black,25000,06457-3834,Sedan,6943675,Middletown,2022,7,202207,Bajo
C_CND_004326,2022-08-05,Quincy,Male,2330000,Buddy Storbeck's Diesel Service Inc,Volkswagen,Beetle,DoubleÂ Overhead Camshaft,Auto,Red,45000,06457-3834,SUV,8489373,Middletown,2022,8,202208,Muy Alto
C_CND_004395,2022-08-07,Emma,Male,1365000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,S-Class,Overhead Camshaft,Manual,Red,21500,06457-3834,SUV,7722551,Middletown,2022,8,202208,Muy Alto
C_CND_004410,2022-08-07,Elianny,Male,820000,Buddy Storbeck's Diesel Service Inc,Jeep,Wrangler,DoubleÂ Overhead Camshaft,Auto,Red,19000,06457-3834,Hatchback,7625104,Pasco,2022,8,202208,Alto
C_CND_004423,2022-08-08,Aliza,Male,530000,Buddy Storbeck's Diesel Service Inc,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,06457-3834,Passenger,8104506,Middletown,2022,8,202208,Medio-Alto
